file_path,file_size,current_chunk_size,predicted_chunk_size,current_to_predicted_ratio,bmu
/mnt/beegfs/testdir_128K/test_500M.dat,500000000,125,512,0.244140625,"(np.int64(18), np.int64(22))"
/mnt/beegfs/testdir_256K/test_100M.dat,100000000,250,512,0.48828125,"(np.int64(27), np.int64(24))"
/mnt/beegfs/testdir_64K/test_500M.dat,500000000,62,512,0.1220703125,"(np.int64(2), np.int64(8))"
/mnt/beegfs/testdir_2048K/test_200M.dat,200000000,2000,3456,0.5787037037037037,"(np.int64(29), np.int64(15))"
/mnt/beegfs/testdir_768K/test_200M.dat,200000000,750,896,0.8370535714285714,"(np.int64(15), np.int64(27))"
/mnt/beegfs/testdir_1024K/test_500M.dat,500000000,1000,1152,0.8680555555555556,"(np.int64(25), np.int64(26))"
/mnt/beegfs/testdir_2048K/test_200M.dat,200000000,2000,3968,0.5040322580645161,"(np.int64(5), np.int64(7))"
/mnt/beegfs/testdir_2048K/test_200M.dat,200000000,2000,4096,0.48828125,"(np.int64(9), np.int64(7))"
/mnt/beegfs/testdir_1024K/test_500M.dat,500000000,1000,2432,0.41118421052631576,"(np.int64(15), np.int64(6))"
/mnt/beegfs/testdir_2048K/test_500M.dat,500000000,2000,4096,0.48828125,"(np.int64(19), np.int64(8))"
/mnt/beegfs/testdir_128K/test_100M.dat,100000000,125,512,0.244140625,"(np.int64(27), np.int64(23))"
/mnt/beegfs/testdir_64K/test_500M.dat,500000000,62,512,0.1220703125,"(np.int64(28), np.int64(13))"
/mnt/beegfs/testdir_512K/test_50M.dat,50000000,500,1024,0.48828125,"(np.int64(4), np.int64(4))"
/mnt/beegfs/testdir_256K/test_1000M.dat,1000000000,250,512,0.48828125,"(np.int64(10), np.int64(15))"
/mnt/beegfs/testdir_64K/test_100M.dat,100000000,62,512,0.1220703125,"(np.int64(7), np.int64(29))"
/mnt/beegfs/testdir_64K/test_50M.dat,50000000,62,512,0.1220703125,"(np.int64(28), np.int64(19))"
/mnt/beegfs/testdir_1024K/test_100M.dat,100000000,1000,1408,0.7102272727272727,"(np.int64(22), np.int64(0))"
/mnt/beegfs/testdir_768K/test_100M.dat,100000000,750,1024,0.732421875,"(np.int64(17), np.int64(7))"
/mnt/beegfs/testdir_512K/test_200M.dat,200000000,500,2176,0.22977941176470587,"(np.int64(18), np.int64(29))"
