file_size_KB,mean,std,var
1024,20594.17551724138,6189.191454631768,38306090.86208689
2048,40596.558600000004,11312.584049284269,127974557.87212086
5120,87707.60236146631,25693.434825368102,660152593.1254385
10240,160188.0108532934,46310.56930005268,2144668828.8949819
20480,284548.7952486559,74802.34436407522,5595390722.361697
51200,517074.16404948704,83863.21532709469,7033038884.998649
102400,661029.2982869613,90347.24157767481,8162624060.694733
204800,661158.66085,84362.8767508877,7117094973.68547
512000,662023.279865,90200.41442938455,8136114763.232723
1024000,660433.37497,88316.26265619638,7799762249.558269
5120000,655421.68028,82507.19366068776,6807437005.762235
10240000,659990.3645449999,80917.02298570226,6547564608.868669
20480000,662006.2915,89752.01854643795,8055424833.160141
51200000,658727.358915,71914.87434160229,5171749151.568447
